"ID","SIRE","DAM","SEX","GEN","PA","MS","E","P"
1,0,0,"m",0,0,4.30781262501192,3.35416526421264,53.4855690588028
2,0,0,"m",0,0,-0.741343053411931,-5.03511617447839,40.0471319416879
3,0,0,"m",0,0,-1.13466979733997,10.1334125239006,54.8223338961388
4,0,0,"m",0,0,1.72672586650086,-1.50893655794594,46.0413804781331
5,0,0,"m",0,0,-1.29392867250386,-3.63222078241106,40.8974417146633
6,0,0,"m",0,0,0.0248475961686087,10.2097452330467,56.0581839987935
7,0,0,"m",0,0,3.45142901001039,0.344194381288015,49.6192145608766
8,0,0,"m",0,0,1.23637556371092,-6.72642074244983,40.3335459908393
9,0,0,"m",0,0,2.65994527732735,0.608382045664998,49.0919184925705
10,0,0,"m",0,0,2.49801808558729,-8.39803308922056,39.9235761659449
11,0,0,"m",0,0,-0.26883232136276,3.76511234574817,49.3198711939636
12,0,0,"m",0,0,-2.42982793470186,-5.33287969350806,38.0608835413683
13,0,0,"m",0,0,-2.46298934152695,1.44287226560957,44.8034740936608
14,0,0,"m",0,0,2.99777842141195,-1.67097732219684,47.1503922687933
15,0,0,"m",0,0,-0.405833200329863,-6.82767801292252,38.5900799563258
16,0,0,"m",0,0,0.107648734832272,-2.24720115254735,43.6840387518631
17,0,0,"m",0,0,-6.63346671922837,6.7475502013925,45.9376746517423
18,0,0,"m",0,0,1.37736466621472,-1.2987014414825,45.9022543943104
19,0,0,"m",0,0,-1.62569765795818,0.776823667812269,44.9747171794323
20,0,0,"m",0,0,3.49831017323886,-7.95114191242904,41.370759430388
21,0,0,"m",0,0,-5.58261325335656,2.75030604242817,42.9912839586498
22,0,0,"m",0,0,3.5608666354117,15.5078676377609,64.8923254427507
23,0,0,"m",0,0,3.96456895753321,9.51985123130464,59.308011358416
24,0,0,"m",0,0,-0.89861899043348,-10.557458938806,34.3675132403387
25,0,0,"m",0,0,-2.72963568344394,0.594451995686758,43.688407481821
26,0,0,"m",0,0,2.92195364473808,-7.20891272507764,41.5366320892386
27,0,0,"m",0,0,-0.244835501632828,-2.04301529399785,43.5357403739475
28,0,0,"m",0,0,-0.1917918382898,9.2051266915808,54.8369260228692
29,0,0,"m",0,0,5.49487639455518,0.310736462256623,51.62920402639
